source_path,relative_input_path,filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title,is_blurry,exposure,objects_detected,caption,ocr_text,evidence_log
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0064.jpg,IMG_0064.jpg,IMG_0064.jpg,2,Food & Product,auto,Food & Product,0.9857,Branding & Portrait,0.0136,There is a woman that is cutting a piece of cake with a knife.,yes,normal,person,there is a woman that is cutting a piece of cake with a knife,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0130.jpg,IMG_0130.jpg,IMG_0130.jpg,3,Branding & Portrait,auto,Branding & Portrait,0.9993,Events & Music,0.0006,There are two women in a kitchen preparing food in a pot.,yes,normal,person; person; person,there are two women in a kitchen preparing food in a pot,,"{""product_boost"": 0.12, ""product_demote_branding_service"": 0.1396930013310824}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0137.jpg,IMG_0137.jpg,IMG_0137.jpg,2,Nature & Landscape,review,Nature & Landscape,0.4541,Food & Product,0.2402,There is a spider that is sitting on the side of a cactus.,yes,normal,person,there is a spider that is sitting on the side of a cactus,,"{""rule_top1_preferred"": ""Other Photography""}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0190.jpg,IMG_0190.jpg,IMG_0190.jpg,1,Food & Product,review,Food & Product,0.5040,Branding & Portrait,0.4959,There is a close up of some food on a table.,yes,normal,,there is a close up of some food on a table,,"{""product_boost"": 0.12, ""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0192.jpg,IMG_0192.jpg,IMG_0192.jpg,3,Food & Product,auto,Food & Product,0.9980,Branding & Portrait,0.0015,There is a woman that is cutting bread with a pair of scissors.,yes,normal,bowl; person; bowl; cup; bowl,there is a woman that is cutting bread with a pair of scissors,,"{""product_boost"": 0.24}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0231.jpg,IMG_0231.jpg,IMG_0231.jpg,4,Food & Product,review,Food & Product,0.6701,Branding & Portrait,0.3299,There is a person pouring melted chocolate into a pan.,no,normal,wine glass; person,there is a person pouring melted chocolate into a pan,,"{""product_boost"": 0.24, ""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0300.jpg,IMG_0300.jpg,IMG_0300.jpg,2,Food & Product,review,Food & Product,0.6708,Branding & Portrait,0.3291,There is a person cutting a piece of cake with a knife.,yes,normal,cake,there is a person cutting a piece of cake with a knife,,"{""product_boost"": 0.24, ""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0309.jpg,IMG_0309.jpg,IMG_0309.jpg,2,Food & Product,auto,Food & Product,0.9997,Branding & Portrait,0.0002,Someone is pouring chocolate into a chocolate cake on a tray.,yes,normal,wine glass,someone is pouring chocolate into a chocolate cake on a tray,,"{""product_boost"": 0.24}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0316.jpg,IMG_0316.jpg,IMG_0316.jpg,2,Food & Product,auto,Food & Product,0.9088,Branding & Portrait,0.0808,There is a woman that is holding a pot in her hand.,yes,normal,person,there is a woman that is holding a pot in her hand,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0328.jpg,IMG_0328.jpg,IMG_0328.jpg,2,Food & Product,review,Food & Product,0.5064,Branding & Portrait,0.4934,There is a person cutting a piece of cake on a plate.,yes,normal,person,there is a person cutting a piece of cake on a plate,,"{""product_boost"": 0.12, ""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0409.jpg,IMG_0409.jpg,IMG_0409.jpg,1,Food & Product,auto,Food & Product,0.9994,Events & Music,0.0005,There are many different types of food on the table.,yes,normal,,there are many different types of food on the table,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0442.jpg,IMG_0442.jpg,IMG_0442.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9991,Events & Music,0.0008,There is a male chef preparing food on a tray in a kitchen.,yes,normal,person,there is a male chef preparing food on a tray in a kitchen,,"{""product_boost"": 0.12, ""branding_portrait_boost"": 0.18, ""product_demote_branding_service"": 0.21518802088374894}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0466.jpg,IMG_0466.jpg,IMG_0466.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9965,Events & Music,0.0024,Woman in white jacket preparing doughnuts on a metal tray.,yes,normal,person,woman in white jacket preparing doughnuts on a metal tray,,"{""product_demote_branding_service"": 0.003624687108640501}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0487.jpg,IMG_0487.jpg,IMG_0487.jpg,2,Food & Product,auto,Food & Product,0.9038,Branding & Portrait,0.0944,There is a woman that is cutting up something with a knife.,yes,normal,person,there is a woman that is cutting up something with a knife,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0509.jpg,IMG_0509.jpg,IMG_0509.jpg,2,Branding & Portrait,review,Branding & Portrait,0.6971,Food & Product,0.3028,Woman in white chef uniform holding a knife in front of her face.,yes,normal,person,woman in white chef uniform holding a knife in front of her face,,"{""product_boost"": 0.12, ""branding_portrait_boost"": 0.3}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0533.jpg,IMG_0533.jpg,IMG_0533.jpg,1,Branding & Portrait,auto,Branding & Portrait,0.9146,Food & Product,0.0754,There is a person wearing black gloves and holding a bag of ice.,yes,normal,,there is a person wearing black gloves and holding a bag of ice,,"{""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0563.jpg,IMG_0563.jpg,IMG_0563.jpg,3,Food & Product,review,Food & Product,0.7797,Branding & Portrait,0.1852,They are two women in white uniforms posing for a picture.,yes,normal,person; person,they are two women in white uniforms posing for a picture,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0572.jpg,IMG_0572.jpg,IMG_0572.jpg,1,Food & Product,auto,Food & Product,0.9938,Events & Music,0.0031,Several plates of pastries are lined up on a table.,yes,normal,,several plates of pastries are lined up on a table,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0576.jpg,IMG_0576.jpg,IMG_0576.jpg,1,Food & Product,auto,Food & Product,0.9954,Branding & Portrait,0.0033,There is a piece of cake that is sitting on a table.,yes,under,,there is a piece of cake that is sitting on a table,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0587.jpg,IMG_0587.jpg,IMG_0587.jpg,2,Food & Product,auto,Food & Product,0.9572,Branding & Portrait,0.0395,There is a woman holding up a chocolate doughnut with holes in it.,yes,normal,person,there is a woman holding up a chocolate doughnut with holes in it,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0625.jpg,IMG_0625.jpg,IMG_0625.jpg,3,Food & Product,auto,Food & Product,0.8938,Branding & Portrait,0.1043,There is a woman that is standing in a kitchen with a plate.,yes,normal,person; person,there is a woman that is standing in a kitchen with a plate,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0651.jpg,IMG_0651.jpg,IMG_0651.jpg,2,Food & Product,auto,Food & Product,0.9903,Branding & Portrait,0.0095,Woman in white coat and white gloves pouring chocolate into a pan.,yes,normal,person,woman in white coat and white gloves pouring chocolate into a pan,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0683.jpg,IMG_0683.jpg,IMG_0683.jpg,1,Branding & Portrait,auto,Branding & Portrait,0.8839,Food & Product,0.1157,There is a close up of a bowl of ice on a table.,yes,under,,there is a close up of a bowl of ice on a table,,"{""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_0696.jpg,IMG_0696.jpg,IMG_0696.jpg,2,Food & Product,review,Food & Product,0.5095,Branding & Portrait,0.4904,There is a person cutting a cake with a knife on a table.,no,normal,,there is a person cutting a cake with a knife on a table,,"{""product_boost"": 0.12, ""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_4590.jpg,IMG_4590.jpg,IMG_4590.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9988,Branding & Portrait,0.0007,Surfers in the ocean at sunset with the sun in the background.,yes,normal,frisbee,surfers in the ocean at sunset with the sun in the background,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5065.jpg,IMG_5065.jpg,IMG_5065.jpg,1,Nature & Landscape,auto,Nature & Landscape,0.9993,Branding & Portrait,0.0004,Sunset over the ocean with the sun reflecting off the water.,yes,normal,,sunset over the ocean with the sun reflecting off the water,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5090.jpg,IMG_5090.jpg,IMG_5090.jpg,3,Nature & Landscape,auto,Nature & Landscape,0.9610,Branding & Portrait,0.0307,There are two people sitting on top of a mountain watching the sunset.,yes,normal,person; person,there are two people sitting on top of a mountain watching the sunset,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5349.jpg,IMG_5349.jpg,IMG_5349.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.8669,Travel & Architecture,0.0899,There is a seal that is sitting in a rock cave.,no,normal,,there is a seal that is sitting in a rock cave,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5354.jpg,IMG_5354.jpg,IMG_5354.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.8486,Nature & Landscape,0.1361,There is a black and white photo of a bird perched on a stone wall.,no,normal,,there is a black and white photo of a bird perched on a stone wall,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5419.jpg,IMG_5419.jpg,IMG_5419.jpg,2,Nature & Landscape,review,Nature & Landscape,0.6473,Travel & Architecture,0.2935,There is a small plant growing out of a hole in a stone wall.,no,normal,,there is a small plant growing out of a hole in a stone wall,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5502.jpg,IMG_5502.jpg,IMG_5502.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9962,Travel & Architecture,0.0022,There are two birds that are sitting on a stone wall.,yes,normal,bird,there are two birds that are sitting on a stone wall,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5504.jpg,IMG_5504.jpg,IMG_5504.jpg,2,Nature & Landscape,auto,Nature & Landscape,1.0000,Branding & Portrait,0.0000,There is a butterfly that is sitting on a flower in the grass.,yes,normal,bird,there is a butterfly that is sitting on a flower in the grass,,"{""nature_boost"": 0.24}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5540.jpg,IMG_5540.jpg,IMG_5540.jpg,1,Nature & Landscape,auto,Nature & Landscape,0.9997,Food & Product,0.0002,There is a butterfly that is sitting on a branch of a tree.,yes,normal,,there is a butterfly that is sitting on a branch of a tree,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5587.jpg,IMG_5587.jpg,IMG_5587.jpg,2,Branding & Portrait,review,Branding & Portrait,0.7225,Nature & Landscape,0.1755,There is a woman talking on a cell phone in the woods.,yes,normal,person,there is a woman talking on a cell phone in the woods,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5588.jpg,IMG_5588.jpg,IMG_5588.jpg,2,Street Documentary,review,Street Documentary,0.9982,Branding & Portrait,0.0017,There is a woman that is walking down the street with a skateboard.,yes,normal,person,there is a woman that is walking down the street with a skateboard,,"{""street_boost"": 0.12, ""street_requires_human_context"": true}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5630.jpg,IMG_5630.jpg,IMG_5630.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9562,Street Documentary,0.0304,There is a man that is standing in the woods with a skateboard.,yes,normal,person,there is a man that is standing in the woods with a skateboard,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5633.jpg,IMG_5633.jpg,IMG_5633.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9397,Street Documentary,0.0485,Smiling man in sunglasses and a tan shirt is holding a skateboard.,yes,normal,person,smiling man in sunglasses and a tan shirt is holding a skateboard,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5641.jpg,IMG_5641.jpg,IMG_5641.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9760,Street Documentary,0.0112,There is a man standing in the middle of a jungle.,yes,normal,person,there is a man standing in the middle of a jungle,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5925.jpg,IMG_5925.jpg,IMG_5925.jpg,3,Nature & Landscape,auto,Nature & Landscape,0.9999,Food & Product,0.0000,There are two white ducks standing in the water near a stream.,yes,normal,bird; bird,there are two white ducks standing in the water near a stream,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5934.jpg,IMG_5934.jpg,IMG_5934.jpg,3,Nature & Landscape,auto,Nature & Landscape,0.9992,Street Documentary,0.0004,There is a white bird with a red beak standing in the sand.,no,normal,horse,there is a white bird with a red beak standing in the sand,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_5949.jpg,IMG_5949.jpg,IMG_5949.jpg,3,Street Documentary,auto,Street Documentary,0.9987,Events & Music,0.0010,There is a small child riding a bike on the street.,yes,normal,person; person; person; bicycle; motorcycle; person; person,there is a small child riding a bike on the street,,"{""street_boost"": 0.24}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6006.jpg,IMG_6006.jpg,IMG_6006.jpg,1,Nature & Landscape,auto,Nature & Landscape,0.9352,Food & Product,0.0311,There is a small bird sitting on top of a bush.,yes,normal,,there is a small bird sitting on top of a bush,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6047.jpg,IMG_6047.jpg,IMG_6047.jpg,2,Street Documentary,review,Street Documentary,0.7869,Travel & Architecture,0.1272,There is a wooden bench sitting in the middle of a courtyard.,no,normal,,there is a wooden bench sitting in the middle of a courtyard,,"{""street_requires_human_context"": true}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6056.jpg,IMG_6056.jpg,IMG_6056.jpg,2,Street Documentary,review,Street Documentary,0.5397,Branding & Portrait,0.1768,There is a piece of paper with a drawing of a heart on it.,no,normal,,there is a piece of paper with a drawing of a heart on it,,"{""street_requires_human_context"": true}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6059.jpg,IMG_6059.jpg,IMG_6059.jpg,2,Branding & Portrait,auto,Branding & Portrait,0.9417,Street Documentary,0.0537,Mural of a woman ' s face on a brick wall in a parking garage.,no,normal,,mural of a woman ' s face on a brick wall in a parking garage,,"{""branding_portrait_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6065.jpg,IMG_6065.jpg,IMG_6065.jpg,2,Travel & Architecture,review,Travel & Architecture,0.7647,Branding & Portrait,0.2350,Clock with roman numerals on the face of a clock tower.,yes,normal,clock,clock with roman numerals on the face of a clock tower,,"{""branding_portrait_boost"": 0.12, ""architecture_boost"": 0.39, ""street_demote_architecture"": 4.501982251288913e-05}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6152.jpg,IMG_6152.jpg,IMG_6152.jpg,1,Food & Product,auto,Food & Product,0.9987,Events & Music,0.0007,There is a display of donuts and other foods on display.,yes,under,cup,there is a display of donuts and other foods on display,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6241.jpg,IMG_6241.jpg,IMG_6241.jpg,2,Nature & Landscape,review,Nature & Landscape,0.7152,Travel & Architecture,0.2065,There are two people standing on a rock in the water.,yes,normal,person,there are two people standing on a rock in the water,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6284.jpg,IMG_6284.jpg,IMG_6284.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9931,Travel & Architecture,0.0028,There is a bird that is sitting on the rocks by the water.,no,normal,,there is a bird that is sitting on the rocks by the water,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6291.jpg,IMG_6291.jpg,IMG_6291.jpg,1,Nature & Landscape,auto,Nature & Landscape,0.9513,Food & Product,0.0168,There is a crab that is sitting on a rock by the water.,yes,normal,,there is a crab that is sitting on a rock by the water,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6303.jpg,IMG_6303.jpg,IMG_6303.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9870,Food & Product,0.0042,There are two crabs that are sitting on a rock together.,no,normal,,there are two crabs that are sitting on a rock together,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6322.jpg,IMG_6322.jpg,IMG_6322.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9963,Branding & Portrait,0.0015,There is a small bird sitting on a rock near the water.,no,normal,,there is a small bird sitting on a rock near the water,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6339.jpg,IMG_6339.jpg,IMG_6339.jpg,3,Other Photography,review,Other Photography,0.9911,Travel & Architecture,0.0037,There is a boat that is out in the water near a rock.,yes,normal,boat; boat,there is a boat that is out in the water near a rock,,"{""other_boost"": 0.072, ""nature_demote_other"": 0.004637726332778887}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6445.jpg,IMG_6445.jpg,IMG_6445.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9966,Events & Music,0.0028,Purple neon lights illuminate the exterior of a building.,no,under,,purple neon lights illuminate the exterior of a building,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09, ""street_demote_architecture"": 0.12033847678666158}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6457.jpg,IMG_6457.jpg,IMG_6457.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9964,Branding & Portrait,0.0017,There is a statue of a man riding a horse on top of a vase.,no,under,,there is a statue of a man riding a horse on top of a vase,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 6.90579060271072e-05}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6567.jpg,IMG_6567.jpg,IMG_6567.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9976,Branding & Portrait,0.0009,There is a dark hallway with shutters and a light on.,no,under,,there is a dark hallway with shutters and a light on,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 0.05961466359440237}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6576.jpg,IMG_6576.jpg,IMG_6576.jpg,1,Street Documentary,review,Street Documentary,0.6182,Other Photography,0.3718,There is a street light that is on the side of the road.,yes,under,,there is a street light that is on the side of the road,,"{""street_boost"": 0.12, ""other_boost"": 0.072, ""nature_demote_other"": 0.0008812201391871591, ""street_requires_human_context"": true}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6647.jpg,IMG_6647.jpg,IMG_6647.jpg,4,Events & Music,auto,Events & Music,0.9986,Branding & Portrait,0.0012,There are many women in purple dresses standing on a stage.,no,normal,person; person; person; person; person; person,there are many women in purple dresses standing on a stage,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6765.jpg,IMG_6765.jpg,IMG_6765.jpg,2,Events & Music,auto,Events & Music,0.9912,Branding & Portrait,0.0067,Dancers in red and yellow outfits are performing a dance routine.,yes,normal,person,dancers in red and yellow outfits are performing a dance routine,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6785-Enhanced-NR.jpg,IMG_6785-Enhanced-NR.jpg,IMG_6785-Enhanced-NR.jpg,3,Food & Product,review,Food & Product,0.5107,Events & Music,0.4873,There are two women dressed in red and yellow with flowers on their heads.,yes,normal,vase; potted plant,there are two women dressed in red and yellow with flowers on their heads,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6835-Enhanced-NR.jpg,IMG_6835-Enhanced-NR.jpg,IMG_6835-Enhanced-NR.jpg,1,Events & Music,auto,Events & Music,0.9967,Branding & Portrait,0.0031,There is a woman in a red and yellow dress dancing on stage.,yes,under,person,there is a woman in a red and yellow dress dancing on stage,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_6946.jpg,IMG_6946.jpg,IMG_6946.jpg,4,Events & Music,auto,Events & Music,0.9996,Branding & Portrait,0.0003,Dancers in purple outfits are posing on a stage with their hands in the air.,no,normal,person; person; person; person; person; person; person,dancers in purple outfits are posing on a stage with their hands in the air,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7018.jpg,IMG_7018.jpg,IMG_7018.jpg,3,Events & Music,auto,Events & Music,0.9940,Branding & Portrait,0.0039,There are a lot of people that are performing on the stage.,yes,normal,person; person; person; person,there are a lot of people that are performing on the stage,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7177.jpg,IMG_7177.jpg,IMG_7177.jpg,1,Events & Music,auto,Events & Music,0.9420,Branding & Portrait,0.0532,There is a man that is holding a yellow scarf in his hand.,yes,under,person,there is a man that is holding a yellow scarf in his hand,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7253.jpg,IMG_7253.jpg,IMG_7253.jpg,3,Events & Music,auto,Events & Music,0.9988,Branding & Portrait,0.0011,Dancers in colorful costumes are performing on a stage with a fan.,yes,normal,person; bird; person,dancers in colorful costumes are performing on a stage with a fan,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7347.jpg,IMG_7347.jpg,IMG_7347.jpg,3,Events & Music,review,Events & Music,0.7237,Branding & Portrait,0.2558,There is a woman kneeling on the ground with a sword.,no,normal,person,there is a woman kneeling on the ground with a sword,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7355.jpg,IMG_7355.jpg,IMG_7355.jpg,1,Food & Product,review,Food & Product,0.5409,Events & Music,0.4569,There are two women that are holding two swords in their hands.,yes,under,person; tennis racket,there are two women that are holding two swords in their hands,,"{""product_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7362.jpg,IMG_7362.jpg,IMG_7362.jpg,4,Events & Music,auto,Events & Music,0.9606,Branding & Portrait,0.0372,There is a woman in a red dress holding a pair of scissors.,no,normal,person; person,there is a woman in a red dress holding a pair of scissors,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7373.jpg,IMG_7373.jpg,IMG_7373.jpg,1,Events & Music,auto,Events & Music,0.8977,Branding & Portrait,0.0973,Woman in a black and white photo is dancing with her arms outstretched.,yes,under,person; person,woman in a black and white photo is dancing with her arms outstretched,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7439.jpg,IMG_7439.jpg,IMG_7439.jpg,3,Events & Music,auto,Events & Music,0.9700,Branding & Portrait,0.0256,There are three women in a dance performance with their arms outstretched.,yes,normal,person; person,there are three women in a dance performance with their arms outstretched,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/IMG_7445.jpg,IMG_7445.jpg,IMG_7445.jpg,2,Events & Music,auto,Events & Music,0.9985,Branding & Portrait,0.0010,Several women in a dance pose with white shaws on a stage.,yes,normal,person,several women in a dance pose with white shaws on a stage,,"{""music_boost"": 0.12, ""music_context_boost"": 0.06}"
